Old Ward Code,New ward code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Unemployment_rate,Public_Transport,Homes_greenspace ,GCSE
00BFGD,E05000556,Beddington South,Sutton,82.3,23.3,6.0,2.0,2.4,343.4440748
00BFGE,E05000557,Belmont,Sutton,83.2,17.3,2.7,2.2,-12.3,370.5432381
00BFGF,E05000558,Carshalton Central,Sutton,83.5,13.8,3.2,3.1,-1.4,372.5751754
00BFGG,E05000559,Carshalton South and Clockhouse,Sutton,83.0,15.3,2.7,2.0,7.1,370.6374137
00BFGH,E05000560,Cheam,Sutton,82.9,13.5,2.1,2.1,-4.1,388.9946651
00BFGJ,E05000561,Nonsuch,Sutton,86.2,14.4,2.0,2.2,-1.7,375.1126898
00BFGK,E05000562,St Helier,Sutton,80.8,24.5,6.9,2.9,0.9,322.3553253
00BFGL,E05000563,Stonecot,Sutton,81.4,16.3,2.8,2.4,-2.1,367.5498507
00BFGM,E05000564,Sutton Central,Sutton,81.3,20.1,5.1,4.3,-11.7,339.7241476
00BFGN,E05000565,Sutton North,Sutton,82.9,18.5,3.5,3.1,-7.1,356.4480381
00BFGP,E05000566,Sutton South,Sutton,80.5,19.1,3.4,3.3,-18.5,365.0802342
00BFGQ,E05000567,Sutton West,Sutton,81.9,16.7,2.6,3.4,-0.4,375.2360866
00BFGR,E05000568,The Wrythe,Sutton,80.0,18.6,4.3,2.5,-5.5,341.7272791
00BFGS,E05000569,Wallington North,Sutton,82.4,16.4,3.3,3.3,-2.5,361.6007785
00BFGT,E05000570,Wallington South,Sutton,82.6,18.9,4.0,3.2,-6.1,371.2055499
00BFGU,E05000571,Wandle Valley,Sutton,79.9,21.1,6.5,2.3,6.9,323.0443247
00BFGW,E05000572,Worcester Park,Sutton,84.1,17.3,2.4,2.3,-0.7,370.7398699
00BGFW,E05000573,Bethnal Green North,Tower Hamlets,78.2,27.1,12.1,6.0,3.3,333.4422825
00BGFX,E05000574,Bethnal Green South,Tower Hamlets,79.3,24.8,10.7,6.7,5.8,330.7610755
00BGFY,E05000575,Blackwall and Cubitt Town,Tower Hamlets,81.8,24.9,5.4,3.6,3.0,325.7408883
00BGFZ,E05000576,Bow East,Tower Hamlets,79.3,27.7,10.2,3.6,2.8,318.1511818
00BGGA,E05000577,Bow West,Tower Hamlets,80.8,21.8,8.8,5.4,6.3,334.5903475
00BGGB,E05000578,Bromley-by-Bow,Tower Hamlets,81.3,26.2,13.9,4.3,-1.1,334.9458525
00BGGC,E05000579,East India and Lansbury,Tower Hamlets,78.2,28.8,17.8,3.4,0.8,320.7083664
00BGGD,E05000580,Limehouse,Tower Hamlets,77.5,26.2,10.4,4.6,3.4,323.3549545
00BGGE,E05000581,Mile End and Globe Town,Tower Hamlets,78.6,25.5,8.4,5.5,-1.0,333.2628866
00BGGF,E05000582,Mile End East,Tower Hamlets,80.0,26.6,13.3,5.3,2.7,323.1248569
00BGGG,E05000583,Millwall,Tower Hamlets,82.7,23.3,4.7,3.4,-4.6,332.331826
00BGGH,E05000584,St Dunstan's and Stepney Green,Tower Hamlets,78.9,26.7,13.2,5.1,5.9,343.5378917
00BGGJ,E05000585,St Katharine's and Wapping,Tower Hamlets,81.5,22.8,4.5,3.9,-2.1,348.6663393
00BGGK,E05000586,Shadwell,Tower Hamlets,81.2,24.9,12.7,5.3,-3.9,341.3706022
00BGGL,E05000587,Spitalfields and Banglatown,Tower Hamlets,79.8,23.8,13.0,6.5,-13.7,335.0892608
00BGGM,E05000588,Weavers,Tower Hamlets,79.0,25.0,11.1,5.2,6.4,335.5083588
00BGGN,E05000589,Whitechapel,Tower Hamlets,77.0,26.1,9.5,6.4,-9.2,340.1632222
00BHFX,E05000590,Cann Hall,Waltham Forest,79.5,22.8,10.1,2.9,0.7,316.272176
00BHFY,E05000591,Cathall,Waltham Forest,81.5,21.6,12.0,4.5,4.2,318.9244982
00BHFZ,E05000592,Chapel End,Waltham Forest,83.4,22.5,7.4,2.9,5.3,328.2927383
00BHGA,E05000593,Chingford Green,Waltham Forest,82.1,19.4,4.9,2.7,8.2,349.2123646
00BHGB,E05000594,Endlebury,Waltham Forest,85.6,18.3,4.8,2.3,3.2,343.0480513
00BHGC,E05000595,Forest,Waltham Forest,81.5,18.9,7.3,4.2,6.6,328.4667619
00BHGD,E05000596,Grove Green,Waltham Forest,83.5,17.4,7.9,4.2,-5.1,325.3280154
00BHGE,E05000597,Hale End and Highams Park,Waltham Forest,83.5,15.6,6.6,2.4,5.0,340.4984161
00BHGF,E05000598,Hatch Lane,Waltham Forest,80.4,19.6,6.7,2.4,3.3,338.5239455
00BHGG,E05000599,High Street,Waltham Forest,82.6,24.4,8.0,4.2,18.3,335.4724519
00BHGH,E05000600,Higham Hill,Waltham Forest,80.9,25.8,10.6,2.6,10.9,322.0359858
00BHGJ,E05000601,Hoe Street,Waltham Forest,79.7,24.5,11.4,5.1,0.7,327.6419643
00BHGK,E05000602,Larkswood,Waltham Forest,82.3,24.9,6.2,2.8,8.5,335.7546438
00BHGL,E05000603,Lea Bridge,Waltham Forest,78.1,22.2,11.6,3.6,12.4,323.8446978
00BHGM,E05000604,Leyton,Waltham Forest,80.5,20.0,11.8,3.8,8.3,310.0052957
00BHGN,E05000605,Leytonstone,Waltham Forest,80.6,17.7,7.1,4.9,-3.0,337.8293908
00BHGP,E05000606,Markhouse,Waltham Forest,81.2,22.3,11.2,4.1,7.8,333.4075201
00BHGQ,E05000607,Valley,Waltham Forest,83.0,20.1,7.8,2.4,-0.4,328.1200923
00BHGR,E05000608,William Morris,Waltham Forest,80.4,22.8,8.7,3.3,-0.1,323.9890356
00BHGS,E05000609,Wood Street,Waltham Forest,80.2,18.9,9.2,3.5,1.7,334.4659795
00BJFZ,E05000610,Balham,Wandsworth,84.6,9.1,2.6,4.7,-6.9,359.6560276
00BJGA,E05000611,Bedford,Wandsworth,81.3,16.3,3.2,4.1,2.5,340.7298373
00BJGB,E05000612,Earlsfield,Wandsworth,81.9,18.7,3.3,3.7,1.3,348.8930675
00BJGC,E05000613,East Putney,Wandsworth,83.3,14.8,2.2,4.3,-7.1,333.905619
00BJGD,E05000614,Fairfield,Wandsworth,80.8,19.8,2.9,5.3,-6.5,347.6425461
00BJGE,E05000615,Furzedown,Wandsworth,82.4,17.9,6.5,3.1,-4.8,347.1415251
00BJGF,E05000616,Graveney,Wandsworth,82.1,23.0,5.1,5.2,-9.4,339.2962963
00BJGG,E05000617,Latchmere,Wandsworth,79.7,26.4,7.9,5.4,-1.6,342.6266269
00BJGH,E05000618,Nightingale,Wandsworth,79.4,15.8,2.9,5.3,-7.5,349.81
00BJGJ,E05000619,Northcote,Wandsworth,84.9,14.2,2.5,5.0,-0.4,346.5232051
00BJGK,E05000620,Queenstown,Wandsworth,82.1,27.9,5.0,4.3,2.5,325.1180885
00BJGL,E05000621,Roehampton,Wandsworth,79.6,22.7,8.4,2.9,10.3,331.9341493
00BJGM,E05000622,St Mary's Park,Wandsworth,78.6,26.5,4.2,3.6,-1.0,338.3583354
00BJGN,E05000623,Shaftesbury,Wandsworth,81.5,26.6,3.1,5.1,-9.7,342.0893484
00BJGP,E05000624,Southfields,Wandsworth,83.2,15.9,2.7,3.7,-4.3,366.1682483
00BJGQ,E05000625,Thamesfield,Wandsworth,85.9,9.4,1.6,4.6,3.9,370.6394902
00BJGR,E05000626,Tooting,Wandsworth,81.1,21.8,5.8,5.1,-0.7,335.8514074
00BJGS,E05000627,Wandsworth Common,Wandsworth,80.6,14.1,2.3,2.6,3.4,348.4848986
00BJGT,E05000628,West Hill,Wandsworth,80.0,20.6,4.4,2.9,-1.2,341.41599
00BJGU,E05000629,West Putney,Wandsworth,81.2,18.5,4.0,2.8,-4.6,334.5783311
00BKGA,E05000630,Abbey Road,Westminster,87.9,22.3,2.3,5.3,-1.1,333.326625
00BKGB,E05000631,Bayswater,Westminster,84.5,21.2,4.1,6.1,3.4,351.6559259
00BKGC,E05000632,Bryanston and Dorset Square,Westminster,85.9,30.8,3.4,8.0,-7.1,350.9667619
00BKGD,E05000633,Churchill,Westminster,82.8,25.6,6.5,4.8,4.6,337.3126264
00BKGE,E05000634,Church Street,Westminster,81.0,28.1,11.7,6.3,0.2,341.1081473
00BKGF,E05000635,Harrow Road,Westminster,80.1,25.3,10.9,5.5,-11.5,345.9730678
00BKGG,E05000636,Hyde Park,Westminster,83.3,19.8,3.2,7.8,1.0,350.8447863
00BKGH,E05000637,Knightsbridge and Belgravia,Westminster,90.3,25.0,0.5,6.6,12.6,367.9006667
00BKGJ,E05000638,Lancaster Gate,Westminster,85.7,23.4,3.3,7.2,-2.2,360.0994717
00BKGK,E05000639,Little Venice,Westminster,82.9,25.9,3.6,5.6,0.3,340.2624377
00BKGL,E05000640,Maida Vale,Westminster,83.5,25.8,4.5,5.3,8.9,333.1347219
00BKGM,E05000641,Marylebone High Street,Westminster,84.9,25.0,1.4,7.8,-1.8,365.775641
00BKGN,E05000642,Queen's Park,Westminster,80.0,27.1,13.6,5.0,-11.7,334.2140362
00BKGP,E05000643,Regent's Park,Westminster,85.4,24.1,2.4,5.2,16.9,348.5972849
00BKGQ,E05000644,St James's,Westminster,84.0,23.8,5.6,7.5,8.1,324.0093021
00BKGR,E05000645,Tachbrook,Westminster,83.8,22.8,2.7,6.2,7.7,353.4506645
00BKGS,E05000646,Vincent Square,Westminster,82.5,21.6,4.0,6.8,9.5,343.9083202
00BKGT,E05000647,Warwick,Westminster,84.3,20.1,3.7,6.5,3.4,345.3035934
00BKGU,E05000648,Westbourne,Westminster,78.3,27.0,9.3,4.8,5.6,351.2710986
00BKGW,E05000649,West End,Westminster,82.9,21.8,3.2,7.9,-5.0,336.9737586
